№;Recipe ID;Название;Категория;Tier;Станция;Station tier;Время, с;Энергия;Runtime;Входы;Катализаторы;Выходы;Побочные продукты;Технология;Опасности
1;recipe.ship.starter_repair;Полевой ремонтный сегмент;Repair;0;station.field_repair;1;0.0;0.0;1;3×Сплав из обломков;—;1×Полевой ремонтный сегмент;—;tech.field_repair;—
2;recipe.ship.launch_capacitor;Пусковой конденсатор;ShipComponent;1;station.portable_fabricator;1;3.0;59.0;1;2×Проводящий кристалл;—;1×Пусковой конденсатор;—;tech.starter_fabrication;—
3;recipe.ship.navigation_array;Навигационная матрица;ShipComponent;1;station.portable_fabricator;1;2.5;55.0;1;2×Фазовое волокно;—;1×Навигационная матрица;—;tech.starter_fabrication;—
4;recipe.ship.coolant_regulator;Регулятор охлаждения;ShipComponent;1;station.portable_fabricator;1;3.5;63.0;1;2×Термогель;—;1×Регулятор охлаждения;—;tech.starter_fabrication;—
5;recipe.ship.power_coupler;Силовой соединитель;ShipComponent;1;station.portable_fabricator;1;4.0;67.0;1;2×Плазменная нить;—;1×Силовой соединитель;—;tech.starter_fabrication;—
6;recipe.ship.sensor_lens;Сенсорная линза;ShipComponent;2;station.portable_fabricator;1;3.25;61.0;1;2×Квантовая смола;—;1×Сенсорная линза;—;tech.sensor_systems;—
7;recipe.ship.life_support_filter;Фильтр жизнеобеспечения;ShipComponent;2;station.portable_fabricator;1;3.75;65.0;1;2×Аэрогелевая матрица;—;1×Фильтр жизнеобеспечения;—;tech.life_support;—
8;recipe.ship.attitude_coil;Катушка ориентации;ShipComponent;1;station.portable_fabricator;1;4.25;69.0;1;2×Магнитная руда;—;1×Катушка ориентации;—;tech.ship_systems;—
9;recipe.ship.sealant_cartridge;Картридж герметика;ShipComponent;1;station.portable_fabricator;1;2.75;57.0;1;2×Биополимер;—;1×Картридж герметика;—;tech.polymer_science;—
10;recipe.ship.heat_shield_tile;Плитка теплозащиты;ShipComponent;2;station.portable_fabricator;1;4.5;71.0;1;2×Керамический композит;—;1×Плитка теплозащиты;—;tech.metallurgy;—
11;recipe.refining.refined_ferrite;Очищенный феррит;Refining;0;station.smelter;1;5.0;40.0;0;2×Железистая руда;—;1×Очищенный феррит;1×Металлический лом;tech.basic_refining;—
12;recipe.refining.copper_ingot;Медный слиток;Refining;0;station.smelter;1;5.35;44.0;0;2×Медная руда;—;1×Медный слиток;1×Металлический лом;tech.basic_refining;—
13;recipe.refining.titanium_ingot;Титановый слиток;Refining;1;station.smelter;1;5.7;48.0;0;2×Титановая руда;—;1×Титановый слиток;1×Металлический лом;tech.metallurgy;—
14;recipe.refining.aluminum_ingot;Алюминиевый слиток;Refining;0;station.smelter;1;6.05;52.0;0;2×Алюминиевая руда;—;1×Алюминиевый слиток;1×Металлический лом;tech.basic_refining;—
15;recipe.refining.cobalt_ingot;Кобальтовый слиток;Refining;1;station.smelter;1;6.4;56.0;0;2×Кобальтовая руда;—;1×Кобальтовый слиток;1×Металлический лом;tech.metallurgy;—
16;recipe.refining.nickel_ingot;Никелевый слиток;Refining;0;station.smelter;1;6.75;60.0;0;2×Никелевая руда;—;1×Никелевый слиток;1×Металлический лом;tech.basic_refining;—
17;recipe.refining.silicon_wafer_blank;Кремниевая пластина;Refining;1;station.refinery;2;7.1;64.0;0;2×Кремниевый кристалл;—;1×Кремниевая пластина;—;tech.electronics;—
18;recipe.refining.carbon_fiber_feedstock;Углеродное волокнистое сырьё;Refining;1;station.refinery;2;7.449999999999999;68.0;0;2×Углеродистая порода;—;1×Углеродное волокнистое сырьё;—;tech.basic_refining;—
19;recipe.refining.purified_water;Очищенная вода;Refining;0;station.refinery;2;7.8;72.0;0;2×Водяной лёд;—;1×Очищенная вода;—;tech.basic_refining;—
20;recipe.refining.ammonia_solution;Раствор аммиака;Refining;0;station.refinery;2;8.15;76.0;0;2×Аммиачный лёд;—;1×Раствор аммиака;—;tech.basic_chemistry;—
21;recipe.refining.methane_fraction;Метановая фракция;Refining;1;station.distillation_column;2;8.5;80.0;0;2×Метановый клатрат;—;1×Метановая фракция;—;tech.basic_chemistry;—
22;recipe.refining.xenon_gas;Очищенный ксенон;Refining;2;station.cryogenic_separator;3;8.85;84.0;0;2×Ксеноновая полость;—;1×Очищенный ксенон;—;tech.cryogenics;—
